Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@alvarosur,@alvarosur,2,20,2,0.666667,0.75,0
@IberianCitizen,@IberianCitizen,3,20,2,0.8,0.875,0
@a_garciahermoso,@a_garciahermoso,1,20,3,0.444444,0.541667,0
@alvearara,@alvearara,1,183,13,0.166892,0.173263,0
@alveolarh,@alveolarh,1,157,13,0.155978,0.159499,0
@alvinamarchant,@alvinamarchant,1,21,1,1,1,0
@AgenciaAJN,@AgenciaAJN,1,21,1,1,1,0
@alzamorapina,@alzamorapina,3,0,11,0.226649,0.240434,0.000317
@jkarenga_epujsv,@jkarenga_epujsv,1,0,12,0.184778,0.191856,0
@amaliamusso,@amaliamusso,3,8,12,0.194891,0.204634,0.000301
@DiegoFlo17,@DiegoFlo17,3,8,11,0.237394,0.255129,0.000451
@SaludBAP,@SaludBAP,1,8,13,0.163109,0.168742,0
@raulcampin,@raulcampin,4,124,11,0.221672,0.237602,0.000239
@amamiya_yuu,@amamiya_yuu,1,91,5,0.356164,0.408333,0
@nisioisin_anime,@nisioisin_anime,13,91,4,0.541667,0.695513,0.000011
@amaragoura,@amaragoura,1,8,10,0.25687,0.281537,0
@amarcelopm,@amarcelopm,2,157,11,0.247625,0.26848,0.000012
@amargocallejero,@amargocallejero,7,8,10,0.271708,0.304434,0.000376
@amauryjuan16339,@amauryjuan16339,1,139,10,0.235786,0.250448,0
@amcorel,@amcorel,3,8,12,0.199178,0.211461,0.001212
@aitor13023985,@aitor13023985,2,8,11,0.205059,0.216943,0.000014
@soroshijueputa2,@soroshijueputa2,36,8,11,0.248539,0.273513,0.002693
@amelygb,@amelygb,9,139,10,0.294355,0.334283,0.006764
@RNacional_News,@RNacional_News,5,139,11,0.235732,0.254743,0.000442
@amendez5525,@amendez5525,2,139,10,0.253518,0.281014,0.000045
@americofig,@americofig,1,139,10,0.235786,0.250448,0
@amichi_forever,@amichi_forever,1,8,10,0.25687,0.281537,0
@amigoperseo,@amigoperseo,1,22,1,1,1,0
@AmigoPerseo,@AmigoPerseo,1,22,1,1,1,0
@amigovoris,@amigovoris,1,0,11,0.218709,0.231337,0
@amoamichile,@amoamichile,1,139,10,0.245122,0.270518,0
@amorosaletty,@amorosaletty,3,8,10,0.260612,0.287666,0.000029
@amphlet,@amphlet,1,157,11,0.246168,0.266,0
@amtonia85898460,@amtonia85898460,1,139,10,0.245122,0.270518,0
@amuniozal,@amuniozal,1,0,11,0.195818,0.20601,0
@AndresSepCL,@AndresSepCL,30,0,10,0.243488,0.264601,0.005851
@anacuesta20,@anacuesta20,1,5,12,0.173135,0.180365,0
@Rey_Guardian,@Rey_Guardian,3,5,11,0.209379,0.222733,0.0006
@anajuanadearco,@anajuanadearco,6,8,10,0.271311,0.302186,0.003939
@anallul,@anallul,2,0,11,0.23642,0.24926,0.000301
@cristiancim,@cristiancim,11,0,11,0.232105,0.247905,0.00247
@anamariaplaza3,@anamariaplaza3,1,157,11,0.246168,0.266,0
@anamariasuper,@anamariasuper,1,157,11,0.246168,0.266,0
@ancorosa,@ancorosa,2,157,12,0.214717,0.224941,0.0003
@AsociacionMi,@AsociacionMi,13,157,11,0.273384,0.294454,0.002567
@Cantileros1,@Cantileros1,1,157,13,0.176769,0.182539,0
@andrea21gatita,@andrea21gatita,2,0,11,0.249675,0.272145,0.000302
@andrea_cb17,@andrea_cb17,3,5,12,0.231752,0.254847,0.000045
@andrea_lis02,@andrea_lis02,1,157,11,0.246168,0.266,0
@andrea_ugalde_p,@andrea_ugalde_p,3,0,11,0.231132,0.24892,0.00129
@VinkaJackson,@VinkaJackson,2,0,12,0.187787,0.196719,0.0009
@andreaasalgadop,@andreaasalgadop,1,5,12,0.225105,0.2441,0
@andreacaroladaz,@andreacaroladaz,3,0,11,0.254964,0.278665,0.000467
@andreadelpolen,@andreadelpolen,1,0,11,0.200062,0.21002,0
@UNRWAes,@UNRWAes,21,0,10,0.250084,0.270564,0.004225
@andreasakurada,@andreasakurada,6,157,9,0.281071,0.314092,0.004982
@IsraelVive1948,@IsraelVive1948,11,139,10,0.24358,0.262117,0.001605
@branemark1,@branemark1,10,157,10,0.271325,0.295511,0.004703
@andreatorov,@andreatorov,1,8,12,0.230291,0.240859,0
@andredejient,@andredejient,1,8,12,0.181145,0.190335,0
@DiedSuddenly_,@DiedSuddenly_,8,8,11,0.221208,0.239052,0.001993
@andrelobit,@andrelobit,1,124,11,0.219989,0.231932,0
@andrerubilar,@andrerubilar,1,0,11,0.224201,0.238157,0
@andres18238524,@andres18238524,1,139,11,0.195877,0.205206,0
@andres1arce,@andres1arce,1,8,10,0.25687,0.281537,0
@andres_mh_,@andres_mh_,1,171,12,0.186097,0.195882,0
@Trumperizar,@Trumperizar,9,171,11,0.228637,0.247644,0.000949
@andres_oyarzun,@andres_oyarzun,11,171,10,0.274919,0.308246,0.000928
@NonNobis10,@NonNobis10,101,8,11,0.27915,0.310494,0.009169
@andresabarcan,@andresabarcan,2,0,11,0.225771,0.240361,0.000063
@andresah1984,@andresah1984,3,5,12,0.216717,0.230738,0.000098
@Bruj4delEste,@Bruj4delEste,6,5,11,0.208663,0.222618,0.000607
@White_Hunters,@White_Hunters,2,5,11,0.217691,0.234061,0.000002
@andresamengual,@andresamengual,1,5,12,0.204445,0.215597,0
@andresarenasven,@andresarenasven,2,5,12,0.189398,0.200419,0.0003
@MJGPLANELLA,@MJGPLANELLA,1,5,13,0.159244,0.165618,0
@andrescane31801,@andrescane31801,1,23,2,0.571429,0.625,0
@WAINRAIHGT,@WAINRAIHGT,4,23,1,1,1,0
@andreschellew1,@andreschellew1,4,8,10,0.24474,0.263047,0.000017
@andresdos,@andresdos,1,5,12,0.225105,0.2441,0
@andresf38610397,@andresf38610397,1,5,12,0.225105,0.2441,0
@andresmcgray36,@andresmcgray36,1,139,10,0.235786,0.250448,0
@andrevalentinam,@andrevalentinam,1,157,11,0.229608,0.240715,0
@andrezautomata,@andrezautomata,1,0,11,0.224201,0.238157,0
@andrs79219776,@andrs79219776,1,8,10,0.25687,0.281537,0
@andrsgo20652091,@andrsgo20652091,1,24,1,1,1,0
@RGandolfoC,@RGandolfoC,1,24,1,1,1,0
@andygaraycarrie,@andygaraycarrie,1,8,10,0.25687,0.281537,0
@andyhasbun,@andyhasbun,1,25,2,0.6,0.666667,0
@CamaraNacional,@CamaraNacional,3,25,1,1,1,0
@andynunenunez,@andynunenunez,1,139,10,0.235786,0.250448,0
@andypineda1988,@andypineda1988,1,109,12,0.151099,0.155427,0
@ang3lcop,@ang3lcop,1,139,10,0.245122,0.270518,0
@ange7riv,@ange7riv,2,157,11,0.246262,0.26625,0.000049
@plumemartinez,@plumemartinez,5,157,10,0.237557,0.252971,0.000363
@angela64990203,@angela64990203,1,8,10,0.222365,0.234988,0
@angelal40476580,@angelal40476580,10,5,10,0.274077,0.308111,0.000638
@Maha38408872,@Maha38408872,43,5,11,0.266024,0.291904,0.004957
@angelamedinaga2,@angelamedinaga2,2,0,11,0.218857,0.231726,0.000229
@RobertoMerken,@RobertoMerken,5,0,12,0.19197,0.201114,0.000312
@angelic27761073,@angelic27761073,1,157,11,0.246168,0.266,0
@angelicarojasc,@angelicarojasc,4,5,10,0.263806,0.293347,0.000379
@angelicasuazo7,@angelicasuazo7,2,0,11,0.225899,0.242303,0.000106
@angelichile73,@angelichile73,1,0,11,0.224201,0.238157,0
@angelitalindaal,@angelitalindaal,1,8,10,0.229172,0.240727,0
@angellosdos,@angellosdos,7,8,10,0.266996,0.295812,0.000149
@angelofierrov,@angelofierrov,1,139,10,0.245122,0.270518,0
@angelouch2002,@angelouch2002,1,67,17,0.095868,0.0974,0
@angelpatriciom7,@angelpatriciom7,1,52,11,0.18593,0.196243,0
@angelromero90,@angelromero90,1,9,12,0.176914,0.184171,0
@angeluss00,@angeluss00,1,157,11,0.246168,0.266,0
@anibal99980311,@anibal99980311,3,169,10,0.257789,0.282852,0.000473
@KimDotcom,@KimDotcom,15,169,11,0.238233,0.258667,0.006145
@Red_Pill_US,@Red_Pill_US,2,169,11,0.214851,0.229941,0.000001
@animadorrorro,@animadorrorro,1,157,11,0.246168,0.266,0
@animalparaiso,@animalparaiso,2,157,11,0.246637,0.26689,0.000108
@animeclasicos,@animeclasicos,2,8,10,0.242215,0.258702,0.000015
